,tokens,Sentiment,No Stops,Unicode,Stemmed
292,"[u'I', u'live', u'in', u'the', u'neighborhood', u'so', u'I', u'am', u'disappointed', u'I', u'won', u't', u'be', u'back', u'here', u'because', u'it', u'is', u'a', u'convenient', u'location']",0,"[u'I', u'live', u'neighborhood', u'I', u'disappointed', u'I', u'back', u'convenient', u'location']","[u'I', u'live', u'neighborhood', u'I', u'disappointed', u'I', u'back', u'convenient', u'location']","[u'I', u'live', u'neighborhood', u'I', u'disappoint', u'I', u'back', u'conveni', u'locat']"
293,"[u'I', u'didn', u't', u'know', u'pulled', u'pork', u'could', u'be', u'soooo', u'delicious']",1,"[u'I', u'know', u'pulled', u'pork', u'could', u'soooo', u'delicious']","[u'I', u'know', u'pulled', u'pork', u'could', u'soooo', u'delicious']","[u'I', u'know', u'pull', u'pork', u'could', u'soooo', u'delici']"
294,"[u'You', u'get', u'incredibly', u'fresh', u'fish', u'prepared', u'with', u'care']",1,"[u'You', u'get', u'incredibly', u'fresh', u'fish', u'prepared', u'care']","[u'You', u'get', u'incredibly', u'fresh', u'fish', u'prepared', u'care']","[u'you', u'get', u'incred', u'fresh', u'fish', u'prepar', u'care']"
295,"[u'Before', u'I', u'go', u'in', u'to', u'why', u'I', u'gave', u'a', u'1', u'star', u'rating', u'please', u'know', u'that', u'this', u'was', u'my', u'third', u'time', u'eating', u'at', u'Bachi', u'burger', u'before', u'writing', u'a', u'review']",0,"[u'Before', u'I', u'go', u'I', u'gave', u'1', u'star', u'rating', u'please', u'know', u'third', u'time', u'eating', u'Bachi', u'burger', u'writing', u'review']","[u'Before', u'I', u'go', u'I', u'gave', u'1', u'star', u'rating', u'please', u'know', u'third', u'time', u'eating', u'Bachi', u'burger', u'writing', u'review']","[u'befor', u'I', u'go', u'I', u'gave', u'1', u'star', u'rate', u'pleas', u'know', u'third', u'time', u'eat', u'bachi', u'burger', u'write', u'review']"
296,"[u'I', u'love', u'the', u'fact', u'that', u'everything', u'on', u'their', u'menu', u'is', u'worth', u'it']",1,"[u'I', u'love', u'fact', u'everything', u'menu', u'worth']","[u'I', u'love', u'fact', u'everything', u'menu', u'worth']","[u'I', u'love', u'fact', u'everyth', u'menu', u'worth']"
297,"[u'Never', u'again', u'will', u'I', u'be', u'dining', u'at', u'this', u'place']",0,"[u'Never', u'I', u'dining', u'place']","[u'Never', u'I', u'dining', u'place']","[u'never', u'I', u'dine', u'place']"
298,"[u'The', u'food', u'was', u'excellent', u'and', u'service', u'was', u'very', u'good']",1,"[u'The', u'food', u'excellent', u'service', u'good']","[u'The', u'food', u'excellent', u'service', u'good']","[u'the', u'food', u'excel', u'servic', u'good']"
299,"[u'Good', u'beer', u'drink', u'selection', u'and', u'good', u'food', u'selection']",1,"[u'Good', u'beer', u'drink', u'selection', u'good', u'food', u'selection']","[u'Good', u'beer', u'drink', u'selection', u'good', u'food', u'selection']","[u'good', u'beer', u'drink', u'select', u'good', u'food', u'select']"
300,"[u'Please', u'stay', u'away', u'from', u'the', u'shrimp', u'stir', u'fried', u'noodles']",0,"[u'Please', u'stay', u'away', u'shrimp', u'stir', u'fried', u'noodles']","[u'Please', u'stay', u'away', u'shrimp', u'stir', u'fried', u'noodles']","[u'pleas', u'stay', u'away', u'shrimp', u'stir', u'fri', u'noodl']"
301,"[u'The', u'potato', u'chip', u'order', u'was', u'sad', u'I', u'could', u'probably', u'count', u'how', u'many', u'chips', u'were', u'in', u'that', u'box', u'and', u'it', u'was', u'probably', u'around', u'12']",0,"[u'The', u'potato', u'chip', u'order', u'sad', u'I', u'could', u'probably', u'count', u'many', u'chips', u'box', u'probably', u'around', u'12']","[u'The', u'potato', u'chip', u'order', u'sad', u'I', u'could', u'probably', u'count', u'many', u'chips', u'box', u'probably', u'around', u'12']","[u'the', u'potato', u'chip', u'order', u'sad', u'I', u'could', u'probabl', u'count', u'mani', u'chip', u'box', u'probabl', u'around', u'12']"
302,"[u'Food', u'was', u'really', u'boring']",0,"[u'Food', u'really', u'boring']","[u'Food', u'really', u'boring']","[u'food', u'realli', u'bore']"
303,"[u'Good', u'Service', u'check']",1,"[u'Good', u'Service', u'check']","[u'Good', u'Service', u'check']","[u'good', u'servic', u'check']"
304,"[u'This', u'greedy', u'corporation', u'will', u'NEVER', u'see', u'another', u'dime', u'from', u'me']",0,"[u'This', u'greedy', u'corporation', u'NEVER', u'see', u'another', u'dime']","[u'This', u'greedy', u'corporation', u'NEVER', u'see', u'another', u'dime']","[u'thi', u'greedi', u'corpor', u'never', u'see', u'anoth', u'dime']"
305,"[u'Will', u'never', u'ever', u'go', u'back']",0,"[u'Will', u'never', u'ever', u'go', u'back']","[u'Will', u'never', u'ever', u'go', u'back']","[u'will', u'never', u'ever', u'go', u'back']"
306,"[u'As', u'much', u'as', u'I', u'd', u'like', u'to', u'go', u'back', u'I', u'can', u't', u'get', u'passed', u'the', u'atrocious', u'service', u'and', u'will', u'never', u'return']",0,"[u'As', u'much', u'I', u'like', u'go', u'back', u'I', u'get', u'passed', u'atrocious', u'service', u'never', u'return']","[u'As', u'much', u'I', u'like', u'go', u'back', u'I', u'get', u'passed', u'atrocious', u'service', u'never', u'return']","[u'As', u'much', u'I', u'like', u'go', u'back', u'I', u'get', u'pass', u'atroci', u'servic', u'never', u'return']"
307,"[u'In', u'the', u'summer', u'you', u'can', u'dine', u'in', u'a', u'charming', u'outdoor', u'patio', u'so', u'very', u'delightful']",1,"[u'In', u'summer', u'dine', u'charming', u'outdoor', u'patio', u'delightful']","[u'In', u'summer', u'dine', u'charming', u'outdoor', u'patio', u'delightful']","[u'In', u'summer', u'dine', u'charm', u'outdoor', u'patio', u'delight']"
308,"[u'I', u'did', u'not', u'expect', u'this', u'to', u'be', u'so', u'good']",1,"[u'I', u'expect', u'good']","[u'I', u'expect', u'good']","[u'I', u'expect', u'good']"
309,"[u'Fantastic', u'food']",1,"[u'Fantastic', u'food']","[u'Fantastic', u'food']","[u'fantast', u'food']"
310,"[u'She', u'ordered', u'a', u'toasted', u'English', u'muffin', u'that', u'came', u'out', u'untoasted']",0,"[u'She', u'ordered', u'toasted', u'English', u'muffin', u'came', u'untoasted']","[u'She', u'ordered', u'toasted', u'English', u'muffin', u'came', u'untoasted']","[u'she', u'order', u'toast', u'english', u'muffin', u'came', u'untoast']"
311,"[u'The', u'food', u'was', u'very', u'good']",1,"[u'The', u'food', u'good']","[u'The', u'food', u'good']","[u'the', u'food', u'good']"
312,"[u'Never', u'going', u'back']",0,"[u'Never', u'going', u'back']","[u'Never', u'going', u'back']","[u'never', u'go', u'back']"
313,"[u'Great', u'food', u'for', u'the', u'price', u'which', u'is', u'very', u'high', u'quality', u'and', u'house', u'made']",1,"[u'Great', u'food', u'price', u'high', u'quality', u'house', u'made']","[u'Great', u'food', u'price', u'high', u'quality', u'house', u'made']","[u'great', u'food', u'price', u'high', u'qualiti', u'hous', u'made']"
314,"[u'The', u'bus', u'boy', u'on', u'the', u'other', u'hand', u'was', u'so', u'rude']",0,"[u'The', u'bus', u'boy', u'hand', u'rude']","[u'The', u'bus', u'boy', u'hand', u'rude']","[u'the', u'bu', u'boy', u'hand', u'rude']"
315,"[u'By', u'this', u'point', u'my', u'friends', u'and', u'I', u'had', u'basically', u'figured', u'out', u'this', u'place', u'was', u'a', u'joke', u'and', u'didn', u't', u'mind', u'making', u'it', u'publicly', u'and', u'loudly', u'known']",0,"[u'By', u'point', u'friends', u'I', u'basically', u'figured', u'place', u'joke', u'mind', u'making', u'publicly', u'loudly', u'known']","[u'By', u'point', u'friends', u'I', u'basically', u'figured', u'place', u'joke', u'mind', u'making', u'publicly', u'loudly', u'known']","[u'By', u'point', u'friend', u'I', u'basic', u'figur', u'place', u'joke', u'mind', u'make', u'publicli', u'loudli', u'known']"
316,"[u'Back', u'to', u'good', u'BBQ', u'lighter', u'fare', u'reasonable', u'pricing', u'and', u'tell', u'the', u'public', u'they', u'are', u'back', u'to', u'the', u'old', u'ways']",1,"[u'Back', u'good', u'BBQ', u'lighter', u'fare', u'reasonable', u'pricing', u'tell', u'public', u'back', u'old', u'ways']","[u'Back', u'good', u'BBQ', u'lighter', u'fare', u'reasonable', u'pricing', u'tell', u'public', u'back', u'old', u'ways']","[u'back', u'good', u'bbq', u'lighter', u'fare', u'reason', u'price', u'tell', u'public', u'back', u'old', u'way']"
317,"[u'And', u'considering', u'the', u'two', u'of', u'us', u'left', u'there', u'very', u'full', u'and', u'happy', u'for', u'about', u'20', u'you', u'just', u'can', u't', u'go', u'wrong']",1,"[u'And', u'considering', u'two', u'us', u'left', u'full', u'happy', u'20', u'go', u'wrong']","[u'And', u'considering', u'two', u'us', u'left', u'full', u'happy', u'20', u'go', u'wrong']","[u'and', u'consid', u'two', u'us', u'left', u'full', u'happi', u'20', u'go', u'wrong']"
318,"[u'All', u'the', u'bread', u'is', u'made', u'in', u'house']",1,"[u'All', u'bread', u'made', u'house']","[u'All', u'bread', u'made', u'house']","[u'all', u'bread', u'made', u'hous']"
319,"[u'The', u'only', u'downside', u'is', u'the', u'service']",0,"[u'The', u'downside', u'service']","[u'The', u'downside', u'service']","[u'the', u'downsid', u'servic']"
320,"[u'Also', u'the', u'fries', u'are', u'without', u'a', u'doubt', u'the', u'worst', u'fries', u'I', u've', u'ever', u'had']",0,"[u'Also', u'fries', u'without', u'doubt', u'worst', u'fries', u'I', u'ever']","[u'Also', u'fries', u'without', u'doubt', u'worst', u'fries', u'I', u'ever']","[u'also', u'fri', u'without', u'doubt', u'worst', u'fri', u'I', u'ever']"
321,"[u'Service', u'was', u'exceptional', u'and', u'food', u'was', u'a', u'good', u'as', u'all', u'the', u'reviews']",1,"[u'Service', u'exceptional', u'food', u'good', u'reviews']","[u'Service', u'exceptional', u'food', u'good', u'reviews']","[u'servic', u'except', u'food', u'good', u'review']"
322,"[u'A', u'couple', u'of', u'months', u'later', u'I', u'returned', u'and', u'had', u'an', u'amazing', u'meal']",1,"[u'A', u'couple', u'months', u'later', u'I', u'returned', u'amazing', u'meal']","[u'A', u'couple', u'months', u'later', u'I', u'returned', u'amazing', u'meal']","[u'A', u'coupl', u'month', u'later', u'I', u'return', u'amaz', u'meal']"
323,"[u'Favorite', u'place', u'in', u'town', u'for', u'shawarrrrrrma']",1,"[u'Favorite', u'place', u'town', u'shawarrrrrrma']","[u'Favorite', u'place', u'town', u'shawarrrrrrma']","[u'favorit', u'place', u'town', u'shawarrrrrrma']"
324,"[u'The', u'black', u'eyed', u'peas', u'and', u'sweet', u'potatoes', u'UNREAL']",1,"[u'The', u'black', u'eyed', u'peas', u'sweet', u'potatoes', u'UNREAL']","[u'The', u'black', u'eyed', u'peas', u'sweet', u'potatoes', u'UNREAL']","[u'the', u'black', u'eye', u'pea', u'sweet', u'potato', u'unreal']"
325,"[u'You', u'won', u't', u'be', u'disappointed']",1,"[u'You', u'disappointed']","[u'You', u'disappointed']","[u'you', u'disappoint']"
326,"[u'They', u'could', u'serve', u'it', u'with', u'just', u'the', u'vinaigrette', u'and', u'it', u'may', u'make', u'for', u'a', u'better', u'overall', u'dish', u'but', u'it', u'was', u'still', u'very', u'good']",1,"[u'They', u'could', u'serve', u'vinaigrette', u'may', u'make', u'better', u'overall', u'dish', u'still', u'good']","[u'They', u'could', u'serve', u'vinaigrette', u'may', u'make', u'better', u'overall', u'dish', u'still', u'good']","[u'they', u'could', u'serv', u'vinaigrett', u'may', u'make', u'better', u'overal', u'dish', u'still', u'good']"
327,"[u'I', u'go', u'to', u'far', u'too', u'many', u'places', u'and', u'I', u've', u'never', u'seen', u'any', u'restaurant', u'that', u'serves', u'a', u'1', u'egg', u'breakfast', u'especially', u'for', u'4', u'00']",0,"[u'I', u'go', u'far', u'many', u'places', u'I', u'never', u'seen', u'restaurant', u'serves', u'1', u'egg', u'breakfast', u'especially', u'4', u'00']","[u'I', u'go', u'far', u'many', u'places', u'I', u'never', u'seen', u'restaurant', u'serves', u'1', u'egg', u'breakfast', u'especially', u'4', u'00']","[u'I', u'go', u'far', u'mani', u'place', u'I', u'never', u'seen', u'restaur', u'serv', u'1', u'egg', u'breakfast', u'especi', u'4', u'00']"
328,"[u'When', u'my', u'mom', u'and', u'I', u'got', u'home', u'she', u'immediately', u'got', u'sick', u'and', u'she', u'only', u'had', u'a', u'few', u'bites', u'of', u'salad']",0,"[u'When', u'mom', u'I', u'got', u'home', u'immediately', u'got', u'sick', u'bites', u'salad']","[u'When', u'mom', u'I', u'got', u'home', u'immediately', u'got', u'sick', u'bites', u'salad']","[u'when', u'mom', u'I', u'got', u'home', u'immedi', u'got', u'sick', u'bite', u'salad']"
329,"[u'The', u'servers', u'are', u'not', u'pleasant', u'to', u'deal', u'with', u'and', u'they', u'don', u't', u'always', u'honor', u'Pizza', u'Hut', u'coupons']",0,"[u'The', u'servers', u'pleasant', u'deal', u'always', u'honor', u'Pizza', u'Hut', u'coupons']","[u'The', u'servers', u'pleasant', u'deal', u'always', u'honor', u'Pizza', u'Hut', u'coupons']","[u'the', u'server', u'pleasant', u'deal', u'alway', u'honor', u'pizza', u'hut', u'coupon']"
330,"[u'Both', u'of', u'them', u'were', u'truly', u'unbelievably', u'good', u'and', u'I', u'am', u'so', u'glad', u'we', u'went', u'back']",1,"[u'Both', u'truly', u'unbelievably', u'good', u'I', u'glad', u'went', u'back']","[u'Both', u'truly', u'unbelievably', u'good', u'I', u'glad', u'went', u'back']","[u'both', u'truli', u'unbeliev', u'good', u'I', u'glad', u'went', u'back']"
331,"[u'We', u'had', u'fantastic', u'service', u'and', u'were', u'pleased', u'by', u'the', u'atmosphere']",1,"[u'We', u'fantastic', u'service', u'pleased', u'atmosphere']","[u'We', u'fantastic', u'service', u'pleased', u'atmosphere']","[u'We', u'fantast', u'servic', u'pleas', u'atmospher']"
332,"[u'Everything', u'was', u'gross']",0,"[u'Everything', u'gross']","[u'Everything', u'gross']","[u'everyth', u'gross']"
333,"[u'I', u'love', u'this', u'place']",1,"[u'I', u'love', u'place']","[u'I', u'love', u'place']","[u'I', u'love', u'place']"
334,"[u'Great', u'service', u'and', u'food']",1,"[u'Great', u'service', u'food']","[u'Great', u'service', u'food']","[u'great', u'servic', u'food']"
335,"[u'First', u'the', u'bathrooms', u'at', u'this', u'location', u'were', u'dirty', u'Seat', u'covers', u'were', u'not', u'replenished', u'just', u'plain', u'yucky']",0,"[u'First', u'bathrooms', u'location', u'dirty', u'Seat', u'covers', u'replenished', u'plain', u'yucky']","[u'First', u'bathrooms', u'location', u'dirty', u'Seat', u'covers', u'replenished', u'plain', u'yucky']","[u'first', u'bathroom', u'locat', u'dirti', u'seat', u'cover', u'replenish', u'plain', u'yucki']"
336,"[u'The', u'burger', u'I', u'got', u'the', u'Gold', u'Standard', u'a', u'17', u'burger', u'and', u'was', u'kind', u'of', u'disappointed']",0,"[u'The', u'burger', u'I', u'got', u'Gold', u'Standard', u'17', u'burger', u'kind', u'disappointed']","[u'The', u'burger', u'I', u'got', u'Gold', u'Standard', u'17', u'burger', u'kind', u'disappointed']","[u'the', u'burger', u'I', u'got', u'gold', u'standard', u'17', u'burger', u'kind', u'disappoint']"
337,"[u'OMG', u'the', u'food', u'was', u'delicioso']",1,"[u'OMG', u'food', u'delicioso']","[u'OMG', u'food', u'delicioso']","[u'omg', u'food', u'delicioso']"
338,"[u'There', u'is', u'nothing', u'authentic', u'about', u'this', u'place']",0,"[u'There', u'nothing', u'authentic', u'place']","[u'There', u'nothing', u'authentic', u'place']","[u'there', u'noth', u'authent', u'place']"
339,"[u'the', u'spaghetti', u'is', u'nothing', u'special', u'whatsoever']",0,"[u'spaghetti', u'nothing', u'special', u'whatsoever']","[u'spaghetti', u'nothing', u'special', u'whatsoever']","[u'spaghetti', u'noth', u'special', u'whatsoev']"
340,"[u'Of', u'all', u'the', u'dishes', u'the', u'salmon', u'was', u'the', u'best', u'but', u'all', u'were', u'great']",1,"[u'Of', u'dishes', u'salmon', u'best', u'great']","[u'Of', u'dishes', u'salmon', u'best', u'great']","[u'Of', u'dish', u'salmon', u'best', u'great']"
341,"[u'The', u'vegetables', u'are', u'so', u'fresh', u'and', u'the', u'sauce', u'feels', u'like', u'authentic', u'Thai']",1,"[u'The', u'vegetables', u'fresh', u'sauce', u'feels', u'like', u'authentic', u'Thai']","[u'The', u'vegetables', u'fresh', u'sauce', u'feels', u'like', u'authentic', u'Thai']","[u'the', u'veget', u'fresh', u'sauc', u'feel', u'like', u'authent', u'thai']"
342,"[u'It', u's', u'worth', u'driving', u'up', u'from', u'Tucson']",1,"[u'It', u'worth', u'driving', u'Tucson']","[u'It', u'worth', u'driving', u'Tucson']","[u'It', u'worth', u'drive', u'tucson']"
343,"[u'The', u'selection', u'was', u'probably', u'the', u'worst', u'I', u've', u'seen', u'in', u'Vegas', u'there', u'was', u'none']",0,"[u'The', u'selection', u'probably', u'worst', u'I', u'seen', u'Vegas', u'none']","[u'The', u'selection', u'probably', u'worst', u'I', u'seen', u'Vegas', u'none']","[u'the', u'select', u'probabl', u'worst', u'I', u'seen', u'vega', u'none']"
344,"[u'Pretty', u'good', u'beer', u'selection', u'too']",1,"[u'Pretty', u'good', u'beer', u'selection']","[u'Pretty', u'good', u'beer', u'selection']","[u'pretti', u'good', u'beer', u'select']"
345,"[u'This', u'place', u'is', u'like', u'Chipotle', u'but', u'BETTER']",1,"[u'This', u'place', u'like', u'Chipotle', u'BETTER']","[u'This', u'place', u'like', u'Chipotle', u'BETTER']","[u'thi', u'place', u'like', u'chipotl', u'better']"
346,"[u'Classy', u'warm', u'atmosphere', u'fun', u'and', u'fresh', u'appetizers', u'succulent', u'steaks', u'Baseball', u'steak']",1,"[u'Classy', u'warm', u'atmosphere', u'fun', u'fresh', u'appetizers', u'succulent', u'steaks', u'Baseball', u'steak']","[u'Classy', u'warm', u'atmosphere', u'fun', u'fresh', u'appetizers', u'succulent', u'steaks', u'Baseball', u'steak']","[u'classi', u'warm', u'atmospher', u'fun', u'fresh', u'appet', u'succul', u'steak', u'basebal', u'steak']"
347,"[u'5', u'stars', u'for', u'the', u'brick', u'oven', u'bread', u'app']",1,"[u'5', u'stars', u'brick', u'oven', u'bread', u'app']","[u'5', u'stars', u'brick', u'oven', u'bread', u'app']","[u'5', u'star', u'brick', u'oven', u'bread', u'app']"
348,"[u'I', u'have', u'eaten', u'here', u'multiple', u'times', u'and', u'each', u'time', u'the', u'food', u'was', u'delicious']",1,"[u'I', u'eaten', u'multiple', u'times', u'time', u'food', u'delicious']","[u'I', u'eaten', u'multiple', u'times', u'time', u'food', u'delicious']","[u'I', u'eaten', u'multipl', u'time', u'time', u'food', u'delici']"
